id,title,description,link,image_link,price,availability,condition,brand,google_product_category
69e347beb07756d3c7061db4,"DIGITAL STAGE BOX - Behringer SD16","",https://honemusics.com/products/behringer-sd16-prod-1121,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816811/hone_store/DIGITAL%20STAGE%20BOX/stagebox_benhinger.jpg,"120000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347beb07756d3c7061db6,"STUDIO HEADSET - kustom for musicians","Best for mixing and mastering",https://honemusics.com/products/kustom-for-musicians-prod-1123,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816854/hone_store/STUDIO%20HEADSET/headset_good.jpg,"12000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347beb07756d3c7061dc2,"Drum kick Mic - Senheiser","",https://honemusics.com/products/senheiser-prod-1120,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816812/hone_store/Drum%20kick%20Mic/studiomic_senheiser.jpg,"25000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347beb07756d3c7061db7,"STUDIO MIDI KEYBOARD - Carbon 49 keys","",https://honemusics.com/products/carbon-49-keys-prod-1124,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816871/hone_store/STUDIO%20MIDI%20KEYBOARD/keyboard_carbon.jpg,"0 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347bdb07756d3c7061dad,"STUDIO MIC - Audio Technica AT2020","",https://honemusics.com/products/audio-technica-at2020-prod-1114,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816859/hone_store/STUDIO%20MIC/studiomic_AT2020.jpg,"32000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347bdb07756d3c7061dab,"STUDIO MIC - Rodent nt1","5th generation With Full accessories",https://honemusics.com/products/rodent-nt1-prod-1112,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816864/hone_store/STUDIO%20MIC/studiomic_rodent12.jpg,"75000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347bdb07756d3c7061daa,"STUDIO MIC - Rodent nt1","",https://honemusics.com/products/rodent-nt1-prod-1111,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816863/hone_store/STUDIO%20MIC/studiomic_rodent1.jpg,"65000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347bdb07756d3c7061da9,"SAXOPHONE - Karl glaser","",https://honemusics.com/products/karl-glaser-prod-1110,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816844/hone_store/SAXOPHONE/saxophone_Karlglaser.jpg,"115000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347beb07756d3c7061db3,"VIOLIN - Violin","With Full accessories",https://honemusics.com/products/violin-prod-1104,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816878/hone_store/VIOLIN/violin.jpg,"25000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347bdb07756d3c7061da4,"GUITAR - Smiger","With Full accessories Bag, Extra String, Capo, Belt and Pick",https://honemusics.com/products/smiger-prod-1106,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816824/hone_store/GUITAR/guitar_smiger3.jpg,"45000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347bdb07756d3c7061da8,"SOUND CARD - Focusrite/Scarlet","",https://honemusics.com/products/focusritescarlet-prod-1109,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816846/hone_store/SOUND%20CARD/soundcard_focusrite.jpg,"0 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347bdb07756d3c7061da7,"GUITAR - Classical/Nylon","With Full accessories",https://honemusics.com/products/classicalnylon-prod-1108,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816814/hone_store/GUITAR/guitar_classical.jpg,"25000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347bdb07756d3c7061da6,"GUITAR - SAR/Tanghai","With Full accessories Bag, Extra String, Capo, Belt and Pick",https://honemusics.com/products/sartanghai-prod-1107,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816819/hone_store/GUITAR/guitar_Sar.jpg,"20000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347bdb07756d3c7061da5,"GUITAR - Yamaha f6000","With Full accessories Bag, Extra String, Capo, Belt and Pick",https://honemusics.com/products/yamaha-f6000-prod-1105,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816825/hone_store/GUITAR/guitar_Yamahaf6000.jpg,"35000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347bcb07756d3c7061da3,"GUITAR - Smiger","",https://honemusics.com/products/smiger-prod-1102,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816821/hone_store/GUITAR/guitar_smiger.jpg,"35000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347bdb07756d3c7061db0,"KIRAR - Kirar","",https://honemusics.com/products/kirar-prod-1103,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816835/hone_store/KIRAR/kirar.jpg,"30000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
69e347bcb07756d3c7061da1,"PIANO - Yamaha F52","",https://honemusics.com/products/yamaha-f52-prod-1100,https://res.cloudinary.com/dglvpzqcl/image/upload/v1775816840/hone_store/PIANO/piano_yamaha.jpg,"55000 ETB",in_stock,new,"Hone Musical Instruments",Media > Musical Instruments
